"Strain","Negative control","PL25_M23","fold_reduction","log10_reduction"
"B. subtilis",5e+08,433333.333333333,1153.84615384615,3.06214790674884
"S. warneri",566666666.666667,466666.666666667,1214.28571428571,3.08432088570004
"MRSA",5e+08,466666666.666667,1.07142857142857,0.0299632233774432
"PL25",5e+08,56666.6666666667,8823.52941176471,3.94564233767741
